CF3,CF9,CF11,CF12,CF14,REV1_1,REV2_1
14864.1026340136,14295.4072517007,16177.8204687075,15292.4919380952,13050.2203333333,12494.1077789116,11108.5897659864
14836.2432570339,14259.0988997888,16145.3861860481,15257.8189852851,13026.3716291982,12436.3660715989,11064.1514783023
14768.5974866967,14167.2070169873,16063.0684609087,15172.6271912949,12966.1547475781,12318.2541612089,10972.1722407559
14684.8242932295,14043.4247168136,15954.022374462,15064.5045361071,12887.3270451595,12163.5721619867,10853.5492788823
14599.4788762315,13905.0952952244,15834.1891752189,14950.3030001368,12801.9974835796,12001.4493455802,10733.4442480843
14522.4640592669,13766.263497088,15715.7432052073,14842.3753511477,12719.4180366564,11852.6903028434,10629.3480668037
14461.6779298751,13638.6254772197,15608.8475463154,14751.2949437354,12647.4058058872,11728.4945972279,10549.9755341704
14416.2625870954,13525.1879863258,15515.2781790696,14677.2658390023,12587.2212055934,11627.3296358139,10492.7235889507
14378.9888951968,13422.6540661987,15430.570756262,14613.107333815,12535.194511079,11539.5572247454,10447.6264688274
14344.6313024602,13328.3869998622,15351.3776014747,14553.7504730894,12488.5050568534,11456.791863414,10406.17253773
14311.9740655625,13241.9492470669,15277.1788930297,14498.0452884748,12446.5291325052,11375.8961573499,10364.9599772257
14281.4006061234,13163.3685558781,15208.2272679522,14446.1843140507,12409.2296623816,11297.0118923215,10323.9560042159
14253.2427948505,13092.2597944352,15144.5012808001,14398.3427536683,12376.3061870155,11221.059299557,10283.9726124723
14227.5054754973,13027.9731503431,15085.8379306162,14354.459882512,12347.2736192556,11148.5765089762,10245.6631035558
14203.9913598501,12969.8393981674,15032.0431778426,14314.3441833264,12321.6268842843,11079.9377939747,10209.4307069971
14182.4981619743,12917.2559332638,14982.8549798401,14277.7345453598,12298.9002944039,11015.2638272506,10175.4248036149
14162.860911306,12869.6939132554,14937.9667815372,14244.2238335422,12278.7301228766,10954.5801709134,10143.6557856447
14144.9080649097,12826.659177299,14897.0442874573,14213.3656006414,12260.8193941295,10897.9829557973,10114.0938788956
14128.4201661779,12787.7274060885,14859.7342312526,14184.8408616115,12244.8808427594,10845.4761625471,10086.6643335428
14113.1554608069,12752.4755503112,14825.6376340815,14158.3992367667,12230.6756908608,10796.9496003776,10061.2991018111
14098.8979268207,12720.4678676471,14794.3268764006,14133.8641890756,12217.9839110644,10752.2555990896,10037.8394037115
14085.4862244898,12691.2855919069,14765.4829195596,14111.1743821446,12206.5668805667,10711.196708044,10016.1356907918
14072.8629375615,12664.5837396404,14738.9073405675,14090.2763435876,12196.2224434612,10673.5625586459,9995.97238376177
14061.0792684814,12640.0840254625,14714.4608057255,14071.0065340789,12186.7783132869,10639.0052187522,9977.16573046353
14050.2220625528,12617.5009925331,14691.98640286,14053.1484664694,12178.1334150465,10607.04386306,9959.4518720062
14040.3007559083,12596.5621851852,14671.263280776,14036.5149626102,12170.3074176367,10577.2428694885,9942.64647477954
14031.2122986435,12577.0958976261,14652.0010244454,14020.9770813904,12163.3261823513,10549.1189070228,9926.6071859545
14022.7666542843,12558.9694859549,14633.8493762825,14006.4569546452,12157.1166843558,10522.3649982311,9911.28257800892
14014.7435221797,12542.0059885204,14616.4661313067,13992.9360820578,12151.5560817035,10496.7598660714,9896.78477820295
14006.931737634,12526.1180459158,14599.6519984387,13980.3988254915,12146.5401071606,10472.1485256547,9883.25606663828
13999.1688063255,12511.3343461265,14583.3970565032,13968.8079502488,12141.9440707178,10448.4874147122,9870.79471073206
13991.4005043064,12497.669695352,14567.7981988042,13958.1130834935,12137.6664538401,10425.9750779415,9859.45292333974
13983.663355432,12485.1160343599,14553.0494261477,13948.2351892643,12133.6769161677,10404.6430549615,9849.16434951526
13976.0099925038,12473.6319847219,14539.3009659456,13939.0839840794,12130.0286313986,10384.7323902335,9839.68681480688
13968.5417106392,12463.0498952524,14526.5808229658,13930.6086254111,12126.7623019448,10366.3110449735,9830.81432861433
